profile,song_count
"black-gospel-choir-choruses-congregational-contemporary-energetic-medium-fast-praise-solo-songs-southern-gospel-traditional-worship",8
"black-gospel-choir-choruses-congregational-contemporary-high-energy-medium-fast-shouting-praise-solo-songs-southern-gospel-traditional-worship",8
"choir-choruses-congregational-contemporary-slow-solo-songs-traditional-worship",7
"black-gospel-choir-choruses-congregational-contemporary-medium-praise-solo-songs-southern-gospel-traditional-worship",5
"os-apo-fast",5
"mod-apo-med",3
"mod-apo-fast",3
"o-s-apo-fast",3
"os-apo-med",3
"os-gospel-med",3
"ccm-choir-choruses-congregational-jesus-movement-maranatha-medium-praise-solo-songs-worship",3
"black-gospel-choir-choruses-congregational-contemporary-medium-fast-middle-eastern-praise-solo-songs-traditional",3
"black-gospel-choir-choruses-congregational-contemporary-energetic-medium-slow-solo-songs-southern-gospel-traditional-worship",3
"black-gospel-fast-funky",2
"mod-apo-slow",2
"contemp-christian-slow",2
"black-gospel-ccm-choir-choruses-congregational-contemporary-energetic-jesus-movement-maranatha-medium-medium-fast-praise-solo-songs-southern-gospel-traditional-worship",2
"os-gospel-fast",2
"o-s-apo-med",2
"black-gospel-choir-choruses-congregational-contemporary-medium-slow-reverential-solo-songs-southern-gospel-traditional-worship",1
"contemp-christian-fast",1
"comtemp-christian-med",1
"os-apo-slow",1
"os-southern-gospel-slow",1
"os-southern-gospel-fast",1
"mod-apo-med-fast",1
"black-gospel-opera",1